Product_name,by_info,Product_img,Product_price,rating,total_review,ans_ask,prod_des,feature
OPPO ENCO M31,OPPO,https://images-na.ssl-images-amazon.com/images/I/71McWxbxenL._SL1500_.jpg,2000,2.5,340+ customer reviews,120+ questions answered,Wireless in-Ear Bluetooth Earphones with Mic (Green),"10-minute charge gives 180 minutes of music playback. A single charge provides 12 hours of music playback. AI-powered noise reduction during calls which blocks all the outside noise. Lightweight (22 g), skin friendly and comfortable liquid silicon neckband."
Sketchfab Extra bass Headphones ,Sketchfab ,https://images-na.ssl-images-amazon.com/images/I/51Vn4BGk6gL._SL1100_.jpg,500,3.9,100+ customer reviews,50+ questions answered,Headphones Over The Ear Headset with Deep bass (White),"Headphones made for Electronic Dance Music(EDM) 30 mm closed, dynamic driver unit for powerful EXTRA BASS sound"
EKSA E900,EKSA ,https://images-na.ssl-images-amazon.com/images/I/71mmXKj-96L._SL1500_.jpg,2000,5,1290 customer reviews,120+ questions answered,"Gaming Headset-Over Ear Headphones with Noise Canceling Mic, Detachable Headset Compatible with PS4, Xbox One, Nintendo Switch, PC","High-Quality 50mm Speakers: To bring you an immersive gaming experience in PUBG, Overwatch, Battlefield 1, Call of Duty, Destiny 2, Red Dead Redemption II and other games, E900 gaming headset has a 50 mm over-ear speakers produce clear treble and shocking bass. Also, E900 gaming headset can accurately identify the location of various sounds, whether it is a weak footstep or an enemy gunshot."
Sony MDR-ZX110A,Sony,https://images-na.ssl-images-amazon.com/images/I/41BoLKMYjnL._SL1128_.jpg,800,4.2,500 customer reviews,1230+ questions answered,"Stereo Headphones (White), without mic","30mm dynamic driver unit for clear sound High energy neodymium magnets deliver powerful sound Slim, folding design for easy portability"
SKETCHFAB Extra Bass 2.0 ,SKETCHFAB ,https://images-na.ssl-images-amazon.com/images/I/71bf98%2BeIbL._SL1500_.jpg,600,3.5,1305 customer reviews,50+ questions answered,"On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls
SKETCHFAB Extra Bass 2.0 On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls (Metal Black)","Aluminium fascia for punchy bass
Headphones made for Electronic Dance Music(EDM)
30 mm closed, dynamic driver unit for powerful EXTRA BASS sound
Cushioned ear pads for long-wearing comfort; Cord length : 1.2 m"
Infinity (JBL) Glide 120 ,JBL,https://images-na.ssl-images-amazon.com/images/I/619OijH9HnL._SL1500_.jpg,1200,3.9,1500 customer reviews,120+ questions answered,Metal in-Ear Wireless Flex Neckband with Bluetooth 5.0 and IPX5 Sweatproof (Black and Red),"Premium Metal Earbud
Flexsoft Neckband Seamless Connectivity with Bluetooth V5.0"
EKSA E3000 Wired Gaming Headset ,ESKA,https://images-na.ssl-images-amazon.com/images/I/71C3pth8egL._SL1200_.jpg,2200,3.7,1305 customer reviews,320+ questions answered,"Gaming Headset with Stereo Surround Sound, Gaming Chat Headphones with Noise Cancelling Mic, LED Light, Over-Ear Headphones with for Mobile","Sound for games: EKSA game headset has a 50mm neodymium driver. Professional tuners fine tune the cavity, three-dimensional sound effect, high and low frequency smooth strong, real restore all kinds of sounds in the game. The upgraded game headset gives you a higher sense of hearing, so you can hear every detail, whether it's the sound of footsteps, friction across the grass or gunshots of the enemy."
boAt BassHeads 100 ,boAt,https://images-na.ssl-images-amazon.com/images/I/61l%2B14s5QVL._SL1500_.jpg,400,4,1290 customer reviews,20+ questions answered,"Wired Earphones with Super Extra Bass, in-line Mic, Hawk Inspired Design and Perfect Length Cable (Furious Red)","1 year warranty from the date of purchase, you can claim your warranty at support.boat-lifestyle.com. For product related queries please reach out to us at +912249461882 or info@imaginemarketingindia.com."
Boult Audio BassBuds X1 ,boAt,https://images-na.ssl-images-amazon.com/images/I/51cMtuIw27L._SL1100_.jpg,400,3.5,500 customer reviews,1230+ questions answered,in-Ear Wired Earphones with Mic and 10mm Powerful Driver for Extra Bass and HD Sound,"Ear fins for Sport Fit: Ear loop hold your buds in ear stably (colour of the ear loops may vary), perfectly fit for running, climbing, hiking, cycling etc"
Mivi Collar Wireless Bluetooth 5.0,MIVI,https://images-na.ssl-images-amazon.com/images/I/61gmUIuS01L._SL1500_.jpg,1400,3.2,340+ customer reviews,30+ questions answered,"Neckband Earphones with Mic. Bluetooth Headset Wireless with Stereo Sound, Booming Bass, Long Battery Life, Voice","Immersive Sound: With powerful bass and a treble with balanced highs and lows, immerse yourself in the true-to-life HD sound that intensifies your music experience with these neck band bluetooth earphones"
JBL Tune 110 ,JBL,https://images-na.ssl-images-amazon.com/images/I/71G7IeoiZhL._SL1500_.jpg,700,3.7,100+ customer reviews,120+ questions answered,JBL Tune 110 in-Ear Headphones with Mic (Blue),The tangle-free flat cable is lightweight and features user-friendly controls for easy functioning and ensures better longevity
JBL C200SI,JBL,https://images-na.ssl-images-amazon.com/images/I/61BEBOFwNFL._SL1500_.jpg,890,4,1290 customer reviews,50+ questions answered,Super Deep Bass in-Ear Premium Headphones with Mic (Gun Metal),JBL Signature Sound True Powerful Bass One-Button Universal Remote with Mic Quick Launch Access to Google Assistant / Siri Noise Cancelling Microphone
JBL C150Si,JBL,https://images-na.ssl-images-amazon.com/images/I/21RC7wka-hL.jpg,670,3.5,1500 customer reviews,1230+ questions answered,C150Si in the ear Signature Sound Stereo wired Headset(BLACK),This product has been professionally inspected and tested to be fully functional by the Sellers. Product may be packed in a non-branded box. Accessories may not be original but have been tested to be compatible and fully functional. 
JBL T205BT,JBL,https://images-na.ssl-images-amazon.com/images/I/61OUdUiPRyL._SL1500_.jpg,170,3.9,1305 customer reviews,320+ questions answered,Bass Wireless Metal Earbud Headphones with Mic (Black),JBL Pure Bass sound- Experience superior JBL sound with powerful bass that truly packs a punch 6-hour battery life - Enjoy your music and take calls for 6 hours
JBL T460BT,JBL,https://images-na.ssl-images-amazon.com/images/I/71ynIMjwgwL._SL1500_.jpg,3000,3.7,1290 customer reviews,20+ questions answered,Extra Bass Wireless On-Ear Headphones with 11 Hours Playtime & Mic (Black),Superior listening experience with JBL Pure Bass sound Wireless Bluetooth Streaming 11 hours of playtime under optimum audio settings
JBL C100SI,JBL,https://images-na.ssl-images-amazon.com/images/I/61nzma5BdZL._SL1500_.jpg,700,4.1,500 customer reviews,1230+ questions answered,Headphones with Mic (White),"Extra Deep Bass ; Cable length: 1.2M ; Frequency range: 20-20kHz ; Impedance: 16±3.2 ohms ; Driver sensitivity: 100±3dBSPL, 1mW ; Maximum SPL: 5mW One-Button Universal Remote with Mic"
JBL C105TWS,JBL,https://images-na.ssl-images-amazon.com/images/I/71XmaVatm2L._SL1500_.jpg,4000,3.5,340+ customer reviews,30+ questions answered," True Wireless in-Ear Headphones with 17 Hours Playtime (5 Hrs on Earbuds, 12 Hrs in Case), Quick Charging & Bluetooth 5.0 (Black)",17 Hours of Combined Playback Time (5 Hours on Earbuds & 12 Hours on Charging Case) Hands-free Stereo Calling with Crystal clear audio Auto Sync function - Pair only the Right earbud 
boAt Bassheads 242 ,boAt,https://images-na.ssl-images-amazon.com/images/I/61uuW6we1jL._SL1500_.jpg,550,3.9,100+ customer reviews,120+ questions answered,"Wired Sports Earphones with HD Sound, 10 mm Dynamic Drivers, IPX 4 Sweat and Water Resistance, Superior Coated Cable & in-Line Mic","1 year warranty from the date of purchase, you can claim your warranty at support.boat-lifestyle.com. For product related queries please reach out to us at +912249461882 or info@imaginemarketingindia.com."
boAt BassHeads 162,boAt,https://images-na.ssl-images-amazon.com/images/I/61nerorzssL._SL1500_.jpg,500,3.7,1290 customer reviews,50+ questions answered,"HD Sound, in-line mic, Dual Tone Secure Braided Cable & 3.5mm Angled Jack Wired Earphones (Blue)","Premium audio with 1mm drivers - break away from old habits through hd sound via 1mm drivers, crystal clear sound to your ears helps you execute what you have visualized perfectly,enhance your senses with the BassHeads 162"
boAt Rockerz 255 ,boAt,https://images-na.ssl-images-amazon.com/images/I/618aOE6K9xL._SL1500_.jpg,1600,4.9,340+ customer reviews,1230+ questions answered,"Wireless Headset with ASAP Charge Technology, Bluetooth V5.0, Qualcomm Chipset, Super Extra Bass, IPX5 Sweat and Water Resistance ",boAt Rockerz 255 while being lightweight in design pumps out your favourite tunes with powerful HD sound and deep boosted bass
Sony MDR-EX155AP ,sony,https://images-na.ssl-images-amazon.com/images/I/61eqJoa4MBL._SL1296_.jpg,100,2.5,1200+ customer reviews,20+ questions answered,"Wired in-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls and 1 Year Warranty - (Black)","In-line mic for hands-free calling
9 mm neodymium drivers for powerful, balanced sound, Connectivity: Wired
Lightweight for ultimate music mobility
Comfortable, secure-fitting silicone earbuds for long listening hours
Match your style with vivid colours"
Sony WI-SP510,Sony,https://images-na.ssl-images-amazon.com/images/I/615vQUBS4BL._SL1500_.jpg,5000,2.9,1500 customer reviews,320+ questions answered,"Sports Extra Bass in-Ear Headphones with 15 hrs Battery Life, Quick Charge, Magnetic Earbuds, Bluetooth Ver 5.0, Headset with Mic for Phone Calls - Blue","Sports Headphones : Wireless Sports Extra Bass neckband headphones for casual and daily usage
IPX5 Ratings : Splash-proof, sweat-proof and washable with an IPX5 rating
Long Battery Life : Up to 15 Hours of battery life for long listening hours with 10 minutes quick charge for 1 hour play back"
Sony MDR-XB450AP,Sony,https://images-na.ssl-images-amazon.com/images/I/61t0HecIZbL._SL1250_.jpg,2500,3.7,1305 customer reviews,20+ questions answered,"Extra Bass On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls and 1 Year Warranty - (Black)",Beat Response Control for tight bass and swivel design makes travel easy
Sony MDR-XB550AP,Sony,https://images-na.ssl-images-amazon.com/images/I/61F5P4sZD2L._SL1325_.jpg,3200,4,1290 customer reviews,1230+ questions answered,"Wired Extra Bass On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls and 1 Year Warranty - (Blue)","Headphones made for electronic dance Music ( EDM); Toll free no. 1800 103 7799
In-line mic for hands free calling
30mm dynamic driver unit for powerful extra bass sound"
Sony MDR-XB550AP,Sony,https://images-na.ssl-images-amazon.com/images/I/61Z80AmjeBL._SL1316_.jpg,3300,4.5,500 customer reviews,30+ questions answered,"Extra Bass On-Ear Headphones with Tangle Free Cable, 3.5mm Jack, Headset with Mic for Phone Calls and 1 Year Warranty - (Black)",Headphones made for electronic dance Music ( EDM); Toll free no. 1800 103 7799 In-line mic for hands free calling 30mm dynamic driver unit for powerful extra bass sound
PTron Bassbuds Pro,pTron,https://images-na.ssl-images-amazon.com/images/I/51e6-HNrAeL._SL1100_.jpg,1400,3.9,340+ customer reviews,120+ questions answered,in-Ear True Wireless Bluetooth Headphones (TWS) with Mic - (Black),Ultra-mini Size Ergonomic Design; Lightweight; 4 Hours of Talk-time; 3 Hours Playback Time (Earbuds) & Extended Playtime up to 12 Hours using Charging Case; LCD Display Compact Charging Case
pTron Bassbuds Lite V2 ,pTron,https://images-na.ssl-images-amazon.com/images/I/51KM0EyQKNL._SL1100_.jpg,1200,4.7,100+ customer reviews,50+ questions answered,V2 in-Ear True Wireless Bluetooth Headphones (TWS) with Mic - (Black),Bluetooth 5.0; 6 Hours Playback Time (Earbuds) & Extended Playtime up to 20 Hours using Charging Case; 5 Hours of Talk-time; 1.5 Hours Charging Time; 100 Hours of Standby-time
pTron HBE5,pTron,https://images-na.ssl-images-amazon.com/images/I/51CMlS4J-3L._SL1100_.jpg,300,4,500 customer reviews,20+ questions answered,(High Bass Earphones) in-Ear Stereo Wired Headphones with Mic - (White and Blue),"6 months manufacturer warranty, customer care number: 040-67138888 Erogonomic design; passive noise cancellation; 10mm dynamic drivers; Lightweight"
pTron Bassbuds Urban in-Ear True,pTron,https://images-na.ssl-images-amazon.com/images/I/51QuFrgAzfL._SL1100_.jpg,1700,3.5,1500 customer reviews,320+ questions answered,True Wireless Stereo Bluetooth Headphones (TWS) with Mic - (Brown),"Premium, Lightweight & Ergonomic Earbuds; 4 Hours Talk-time; 5 Hours Playback Time (Earbuds) & Extra Playtime of 10 Hours using Charging Case; Binaural Call Function
Bluetooth 5.0; 10m Seamless Connectivity; Stereo/Mono Use Earbuds; 50*2 mAh Battery; 1.5 Hours Charging Time; 400mAh Magnetic Charging Case; 500 Hours Standby Time; Micro USB Charging (cable provided)"
PTron Sportster,pTron,https://images-na.ssl-images-amazon.com/images/I/51DAblgfI1L._SL1000_.jpg,500,2.9,1305 customer reviews,20+ questions answered," Wireless Bluetooth Headset (Red, Black, in Ear)",This Certified Refurbished product is tested to work and look like new with minimal to no signs of wear & tear; the product comes with relevant accessories and is backed by a minimum six month supplier backed warranty; box may be generic
