Product_name,by_info,Product_img,Product_price,rating,total_review,ans_ask,prod_des,feature
HP Pavilion Gaming Ryzen 5 Quad Core,HP,https://rukminim1.flixcart.com/image/416/416/kcm9t3k0/computer/q/x/r/hp-na-gaming-laptop-original-imaftpesbvfxgw9t.jpeg?q=70,54990,4.2,986 customer reviews,223+ questions answered ,"If you’re looking for a sleek yet powerful laptop that is perfect for, both, work and play, then you must buy the HP Pavilion Gaming 15 Laptop. Whether it's playing games or multitasking between applications, this laptop offers a smooth and lag-free performance as it features an AMD Ryzen 5-3550H processor and 8 GB of DDR4 RAM. Enjoy an immersive viewing experience, thanks to the 39.62-cm (15.6) Full HD display and dual speakers as well as B&O Audio.","Processor: AMD ryzen 5-3550H Quad-core processor (2.1 GHz base clock speed, up to 3.7 GHz max boost clock speed, 6 MB cache, 4 cores). Graphics & Keyboard: NVIDIA GeForce GTX 1050 (3 GB GDDR5 dedicated. Graphics | Full size ultra-violet backlit Keyboard with numeric keypad. Operating System: Pre-loaded Windows 10 Home with lifetime validity. Display: 15.6-inch Full HD (1920 x 1080) anti-glare IPS display | 60Hz. refresh rate | 250 Nits Brightness. Memory and storage: 8GB DDR4 RAM | Storage: 1 TB 7200 rpm SATA HDD + 256 GB PCIe NVMe M.2 SSD. Design and battery: Laptop weight: 1.98 Kg | Micro-edge bezel Gaming. Laptop | 3-cell, 52.5 Wh Li-ion Fast Charge Battery, gets 0 to 50% within 45 minutes. Preinstalled Software: Windows 10 Home | In the box: Laptop with included battery and charger. Ports and CD Drive: 1 USB 3.1 Type A, 1 USB 2.0 Type A, 1 USB 3.1 Type-C, HDMI, Ethernet, 1 Headphone & Microphone Combo| No Optical Drive. Cooling: Heat pipe based design, dual fans thermal system, full size rear vent thermal vents."
ASUS ZenBook 14,Asus,https://images-na.ssl-images-amazon.com/images/I/71lT-zWEYkL._SL1500_.jpg,99990,3,290 customer reviews,130+ questions answered ,"10th Gen Intel Core i7-1065G7 Processor, 1.3 GHz (8MB Cache, up to 3.9 GHz, 4 Cores, 8 Threads) Memory & Storage: 16GB| Storage: 512GB  Graphics: Integrated Intel Iris Plus ","Display: 14-inch LED-backlit Full HD (1920 x 1080), 16:9, anti-glare Panel, 300nits brightness, 100% sRGB, 4-sided NanoEdge design with up to 90% screen-to-body ratio, IPS-level wide-view technologySoftware Included: Pre-installed MS Office Home and Student 2019 | Operating System: Pre-loaded Windows 10 Home with lifetime validity
Design & battery: Up to 2.5mm-thin bezel | Metallic Chassis |Thin and Light Laptop | Laptop weight: 1.17 kg | 67WHrs, 4-cell, lithium-polymer battery | Up to 22 hours battery life ;Note: Battery life depends on conditions of usage
Keyboard: Edge-to-edge design, full-size backlit, with 1.4mm key travel | Touchpad : Glass-covered, Precision TouchpadwithNumberPad2.0,i.e.,integratedLEDilluminatednumeric keypad"
Dell Inspiron 3595,Dell,https://images-na.ssl-images-amazon.com/images/I/610funGG-eL._SL1000_.jpg,28900,2,500 customer reviews,239+ questions answered ,"AMD A9-9425 processor, Clocks between 3.1 to 3.7 Ghz 4GB DDR4 RAM 1TB 5400 rpm hard drive","AMD A9-9425 processor, Clocks between 3.1 to 3.7 Ghz 4GB DDR4 RAM 1TB 5400 rpm hard drive 15.6-inch HD screen Windows 10 Home + MS Office Home & Student Radeon R5 Integrated Graphics Graphics 1 Year hardware Warranty"
ASUS VivoBook 14 ,Asus,https://images-na.ssl-images-amazon.com/images/I/81WdA58yuaL._SL1500_.jpg,24700,3.9,540 customer reviews,103+ questions answered ,"Intel Quad Core Pentium Silver N5030 14-inch FHD Compact and Light Laptop (4GB RAM/1TB HDD/Windows 10/Integrated Graphics/Transparent Silver/1.60 kg), X409MA-EK219T","Intel Pentium Silver N5030 Processor, 1.10 GHz (4MB Cache, up to 3.1 GHz, 4 Cores, 4 Threads) Memory & Storage: 4GB DDR4 2400MHz RAM | Storage: 1TB SATA 5400RPM 2.5-inch HDD + empty 1x M.2 Slot for SSD storage expansion.  Graphics: Integrated Intel UHD Graphics 605 Display: 14.0-inch (16:9) LED-backlit FHD (1920x1080) 60Hz Anti-Glare Panel with 45% NTSC Operating System: Pre-loaded Windows 10 Home with lifetime validity  Design & battery: NanoEdge Bezels | 23.1mm Thin body | Laptop weight 1.60 kg | Thin and Light Laptop | 32WHrs, Lithium-ion, 2-Cell battery Keyboard: Full-size chiclet keyboard | 1.4mm key travel distance"
Lenovo Ideapad Slim,Lenevo,https://images-na.ssl-images-amazon.com/images/I/61Dw5Z8LzJL._SL1000_.jpg,50990,4.1,1000 customer reviews,238+ questions answered ," 3i Intel Core i5 10th Gen 15.6 FHD Thin and Light Laptop (8GB/1TB+256GB SSD/Windows/Office/Platinum Grey/1.85Kg), 81WE004YIN"," 10th Gen Intel Core i5-1035G1 processor, 1.0 Ghz base speed, 3.6 Ghz max speed, 4 Cores, 6Mb Smart CacheOperating System: Pre-loaded Windows 10 Home with lifetime validityDisplay: 15.6-inch screen with (1920x1080) full hd display | Anti glare technologyMemory and Storage: 8 GB RAM | Storage 1 TB HDD + 256 GB SSD  Design and battery: 1.85Kg thin and light laptop | Battery life : Upto 5 HoursThis genuine Lenovo Laptop comes with 1 year onsite domestic warranty from Lenovo covering manufacturing defects andnotcoveringphysicaldamage.Formoredetails,seeWarranty sectionPre-Installed Software: Windows 10 Home, Office Home and Student 2019 | Inside the box: Laptop, Charger, User Manual"
Dell Inspiron 3493 ,Dell,https://images-na.ssl-images-amazon.com/images/I/5151M4yQlML._SL1000_.jpg,34900,5,1200 customer reviews,3456+ questions answered ,14-inch HD Laptop (10th Gen i3-1005G1/4GB/1TB HDD/Win 10 + MS Office/Intel HD Graphics/Silver) D560193WIN9SE,"1.2 GHz Intel i3-1005g1 10th Gen processor 4GB DDR4 RAM 1TB 5400rpm hard drive 14-Inch screen, Intel HD Graphics NA GB Graphics Windows 10 operating system 7 hours battery life, 1.7kg laptop 10th Gen i3-1005g1"
Dell XPS 9570,Dell,https://images-na.ssl-images-amazon.com/images/I/81WRVvZuDvL._SL1500_.jpg,255900,5,234 customer reviews,234+ questions answered ,"15.6-inch UHD Laptop (8th Gen i9-8950HK/32GB/1TB SSD/Win 10 + MS Office/Integrated Graphics), Silver","2.90 GHzGHz Intel i9-8950HK 8th Gen processor 32GB DDR4 RAM 1TB SSD 15.6-inch screen, NVIDIA 4GB 4GB Graphics  Windows 10 operating system 6 hours battery life, 2kg laptop  Processor detail"
HP Pavilion,HP,https://images-na.ssl-images-amazon.com/images/I/616YjhTcLXL._SL1080_.jpg,98400,3,700 customer reviews,765+ questions answered ,"core i7 10th Gen 14 inch FHD Touchscreen Laptop with Alexa Built-in (16GB/1TB SSD/Windows 10/MS Office 2019/Finger Print Reader/Natural Silver/1.61kg), 14-dw0071tu","1.3GHz Intel i7-1065G7 10th Gen processor 16GB DDR4 RAM 1TB SSD 14-inch screen, Intel Iris Plus Graphics  Windows 10 Home operating system 1.61kg laptop"
Lenovo Legion ,Lenevo,https://images-na.ssl-images-amazon.com/images/I/61p3lA4N3uL._SL1000_.jpg,95990,4,750 customer reviews,230+ questions answered ," 5i 10th Gen Intel Core i7 15.6 inch FHD Gaming Laptop (16GB/1TB HDD + 256 GB SSD/Windows/NVIDIA GTX 1650 Ti/Black/2.3Kg), 82AU00B9IN","Processor: 10th Generation Intel Core i7 10750H; Base speed: 2.6Ghz, Max Speed: 5.0Ghz, 6Cores, 12Threads, 12MB Smart Cache Operating System: Pre-loaded Windows 10 Home with lifetime validity Display: 15.6-inch screen with (1920X1080) full HD display | 250 nits | 120 Hz Refresh Rate Memory and Storage: 16 GB RAM | Storage 1 TB HDD + 256 GB SSD | NVIDIA GTX 1650 Ti 4GB Graphics Design and Battery: 2.5Kg Gaming laptop | Upto 8 Hours battery with polymer 80WH"
ASUS ROG Zephyrus G14,Asus,https://images-na.ssl-images-amazon.com/images/I/91TqO3o7yOL._SL1500_.jpg,102000,5,1000 customer reviews,100+ questions answered ," FHD, Ryzen 5 4600HS, GTX 1650Ti 4GB GDDR6 Graphics, Gaming Laptop (8GB/512GB SSD/MS Office 2019/Windows 10/Moonlight White/Anime Matrix/1.7 Kg), GA401II-BM131TS","Processor: AMD Ryzen 5 4600HS Processor, 3.0 GHz (8MB Cache, up to 4.0 GHz, 6 Cores, 12 Threads) Memory: 8GB DDR4 3200MHz onboard RAM, Upgradeable up to 24GB using 1x SO-DIMM Slot with | Storage: 512GB M.2 NVMe PCIe 3.0 SSD Graphics: Dedicated NVIDIA GeForce GTX 1650Ti GDDR6 4GB VRAM Display: 14-inch (16:9) Full HD (1920 x 1080), 300 nits Brightness, Anti-Glare IPS-level panel, 60Hz Refresh Rate, 100% sRGB, Pantone Validated, 85% screen-to-body ratio Software Included: Pre-installed MS Office Home and Student 2019 | Operating System: Pre-loaded Windows 10 Home (64bit) with lifetime validity"
HP Pavilion Gaming,HP,https://images-na.ssl-images-amazon.com/images/I/71VlaIUD10L._SL1500_.jpg,76900,4.5,200 customer reviews,700+ questions answered ,"15.6-inch FHD Gaming Laptop (Ryzen 5-4600H/8GB/1TB HDD + 256GB SSD/Windows 10/144Hz/NVIDIA GTX 1650ti 4GB/Shadow Black), 15-ec1050AX","3.0GHz AMD ryzen5-4600h 4th Gen processor 8GB DDR4 RAM 1TB 7200rpm hard drive + 256GB SSD 15.6-Inch screen, nvidia GeForce GTX 1650 Ti 4GB Graphics Windows 10 Home operating system 8 hours battery life, 1.98kg laptop"
Dell XPS 9370,Dell,https://images-na.ssl-images-amazon.com/images/I/61T2HPeGebL._SL1280_.jpg,156900,5,100 customer reviews,800+ questions answered ,"13.3-inch Laptop (8th Gen i7-8550U/16GB/512GB SSD/Windows 10/Integrated Graphics), Gold"," 1.80 GHzGHz Intel i7-8550U 8th Gen processor 16GB DDR4 RAM 512GB SSD 13.3-inch screen, Intel Graphics Windows 10 operating system 6 hours battery life, 1.21kg laptop"
Mi Notebook 14 ,Mi,https://images-na.ssl-images-amazon.com/images/I/71mYRzElTAL._SL1500_.jpg,44000,3,800 customer reviews,900+ questions answered ,"Intel Core i5-10210U 10th Gen Thin and Light Laptop(8GB/256GB SSD/Windows 10/Intel UHD Graphics/Silver/1.5Kg), XMA1901-FC+Webcam","10th Gen Intel Core i5-10210U processor, 1.6 GHz base speed, 4.2 GHz max speed, 4 Cores, 8 threads Operating System in the laptop: Windows 10 Home operating system | Pre-installed software : Office 365 – one month Trial subscription Laptop Display: 14-Inch (1920X 1080 )Full HD Anti-Glare Screen, Intel UHD Graphics"
HP 15s dy2007TU,HP,https://images-na.ssl-images-amazon.com/images/I/81Ne5qKmE8L._SL1500_.jpg,52400,2,209 customer reviews,1000+ questions answered ,"15.6-inch Laptop (10th Gen i5-1035G1/8GB/1TB HDD/Windows 10 Home/Integrated Graphics), Sparkling Black","1.0GHz Intel i5-1035G1 10th Gen processor 8GB DDR4 RAM 1TB 5400rpm hard drive 15.6-inch screen, Integrated Graphics Windows 10 Home operating system"
HP Notebook PC 245,HP,https://images-na.ssl-images-amazon.com/images/I/71OGnMuoikL._SL1500_.jpg,48000,1,798 customer reviews,123+ questions answered ,"G7 14-inch Laptop (R5-2500U/8GB/1TB HDD/Windows 10 Pro/AMD Radeon Vega Graphics), Dark Ash Silver","2GHz AMD R5-2500U processor 8GB DDR4 RAM 1TB 5400rpm hard drive 14-inch screen, AMD Radeon Vega Graphics Windows 10 Pro operating system"
Lenovo ThinkPad E14 ,Lenevo,https://images-na.ssl-images-amazon.com/images/I/81YoOf4rrnL._SL1500_.jpg,60000,4.3,1000 customer reviews,799+ questions answered ,Intel Core i5 10th Gen 14-inch Full HD Thin and Light Laptop (8GB RAM/ 1TB HDD + 128GB SSD/ Windows 10 Home/ Microsoft Office Home,"10th Gen Intel Core i5-10210U processor, 1.6 Ghz base speed, 4.2 Ghz max speed, 4 Cores, 6Mb Smart Cache Operating System: Pre-loaded Windows 10 Home with lifetime validity Display: 14-inch screen with (1920X1080) full HD display | Anti Glare technology | 720p HD Camera | Connectivity: Wi-Fi 2x2 802.11ax + Bluetooth 5.0 Memory: 8GB RAM | Storage: 1 TB HDD + 128GB SSD"
Lenovo 82C7A006IH ,Lenevo,https://images-na.ssl-images-amazon.com/images/I/51RSK3t7tsL._SL1000_.jpg,31000,4.2,1239 customer reviews,899+ questions answered ,ADA Laptop (AMD Athlon Silver 3050U/4GB Ram/ 1TB HDD/ 15.6 inch HD AG/ Windows-10/Integrated AMD Radeon Graphics/ Iron Grey),"AMD Athlon Silver 3050U processor, 2.3 Ghz base speed, 3.3 Ghz max speed, 2 cores, 4Mb smart CacheProduct"
Dell XPS 9570 ,Dell,https://images-na.ssl-images-amazon.com/images/I/81WRVvZuDvL._SL1500_.jpg,250000,4.6,890 customer reviews,988+ questions answered ,"Laptop (8th Gen i9-8950HK/32GB/1TB SSD/Win 10 + MS Office/Integrated Graphics), Silver","2.90 GHzGHz Intel i9-8950HK 8th Gen processor 32GB DDR4 RAM 1TB SSD 15.6-inch screen, NVIDIA 4GB 4GB Graphics Windows 10 operating system 6 hours battery life, 2kg laptop"
Acer Travelmate ,Acer,https://images-na.ssl-images-amazon.com/images/I/71tE39W1f4L._SL1440_.jpg,52000,4.8,398 customer reviews,900+ questions answered ,"Intel i5-10th Gen 14-inch Display 1366x768 Thin and Light Laptop (8GB Ram/1TB HDD/Window 10 Pro/Integrated Graphics/Black/1.68 Kgs), TMP214-52","Processor: 10th generation Intel Core i5-10210u(6MB Cache, upto 4.2Ghz) Display: 14 inch HD(1366x768) with Antiglare Technology , Intel UHD Graphics Memory: 8GB DDR4 and upto 64GB RAM expandability with 2 DIMM slots Storage: 1 TB 5400 rpm HDD Warranty: 1 Year Warranty"
